1 34 442 4.1306353982362154e-05 0.01795316400057345 [-0.0010105804458643178, 0.0008912898255870241]
2 49 637 1.1756817428487665e-05 0.024499584000295727 [-0.0008176100143138035, 0.0002548699592589608]
1 56 728 1.848928313608056e-05 0.03220296499966935 [0.0011188634559988575, -0.00012889064892495847]
2 84 1092 1.8601070226331728e-06 0.05323483099891746 [1.1822689618544435e-05, 0.00023522161902661196]
0 23 299 8.470511312530515e-05 0.014270159001171123 [0.0023810282855739537, 0.00032290023587443965]
3 50 650 7.066860839310962e-05 0.026184590000411845 [-0.0003413377967446292, -0.001433412235786054]
1 27 351 9.760195317709552e-05 0.013912276001065038 [-0.0026047671300158393, -0.00011197584577776363]
4 61 793 6.988129691276601e-05 0.03350326399959158 [0.0020032256220582495, 0.0006077008416082372]
1 39 507 7.598678208897702e-05 0.025264706999223563 [-0.000841078563334072, -0.0014003541869056463]
2 49 637 1.3283356595117368e-05 0.03253254300034314 [0.0005106480379089517, 0.0005332171080574084]
0 24 312 5.579182672954541e-05 0.0165469329986081 [-0.0019297742394292564, 0.0002701188817812658]
2 54 702 4.173987762512432e-05 0.036776326000108384 [0.0016951777410953185, 0.00013129917823851952]
0 36 468 8.771229731374675e-05 0.0205631570006517 [-0.0021836285144521328, -0.0007603383908470769]
1 33 429 4.6159295077452533e-05 0.018710320999161922 [0.00026320469970396497, -0.001159727905685177]
0 19 247 9.384629296560476e-06 0.011485828999866499 [0.0002030979114921868, 0.0005117178489900537]
5 112 1456 7.348789318917248e-05 0.05661203899944667 [-0.0012498549015942462, 0.0012336957436416024]
0 21 273 8.957321787383954e-05 0.01114854700063006 [-0.0011802579477426939, -0.0014398410467854348]
0 21 273 5.4058350690944224e-05 0.01430683399848931 [0.00047439400154783125, 0.0012303435499689287]
0 22 286 2.924646814628229e-05 0.015726258001450333 [0.00133486224689007, -0.0003329807063988527]
3 63 819 7.002050600113385e-05 0.0420022180005617 [-0.001395987049431904, -0.0011197486763659887]
2 23 299 9.712289659535855e-05 0.013641591000123299 [-0.002461349958451556, -0.0005551115569670251]
1 41 533 9.93278324075142e-05 0.0219336160007515 [0.002402830646804178, -0.0007037102424077373]
1 32 416 1.4272874182985618e-05 0.01639969099960581 [0.00017181696595619175, -0.0006421969110089118]
0 34 442 3.1910013247316016e-05 0.017387113999575377 [-0.0002844417168192206, -0.000956918141012412]
2 51 663 2.2731477273163492e-05 0.025814800999796716 [-0.0012005494779214296, -0.0002492459709677879]
2 67 871 1.8124823886633834e-05 0.032891343000301276 [-0.0010822006476101948, 0.00020044762410057577]
5 95 1235 6.689219651390133e-05 0.05939914999908069 [-0.001783240824381381, -0.0007972211920515317]
6 101 1313 6.745858239420865e-05 0.059762038001281326 [-0.000719889901657369, -0.0013370580118780473]
0 30 390 3.6678277914869994e-07 0.014929241000572802 [-6.017905865314272e-05, 9.683537281839907e-05]
2 39 507 9.989971332502456e-05 0.02057278500069515 [0.0023452937861811636, 0.0007929400735057065]
1 39 507 7.231853426237222e-05 0.020536897000056342 [-0.00103975743660352, -0.0013009095331772296]
1 37 481 7.354153377159278e-06 0.01846333899993624 [-0.0005109083769743193, -0.00032810224775643314]
0 31 403 7.349231541708967e-05 0.0159818219999579 [-0.001140151432237932, 0.0012782688217685498]
1 36 468 9.109391400874411e-05 0.024896316999729606 [0.00037499988611842906, 0.0016286893460902333]
4 65 845 1.028067977837388e-05 0.041735892000360764 [0.000657860734872227, 0.00034862255210578626]
4 84 1092 9.77321547528387e-05 0.056301688999155886 [0.0011844128734505273, 0.0015204982659246485]
1 51 663 9.620856584302562e-05 0.025679067999590188 [-0.0008565819965991273, 0.0015974815075505513]
1 43 559 9.691196969230376e-05 0.023251087999597075 [-0.0001667618182840413, 0.0016952900672053462]
2 31 403 5.0261199395995604e-05 0.020854241000051843 [-0.0009867888881818882, -0.0010398668352874438]
7 115 1495 9.463185362235116e-05 0.06890721099989605 [0.0016081821679852, 0.0013095117697735025]
2 59 767 3.381522601508813e-05 0.03403355000045849 [0.00032331079934851646, -0.0009809941735537272]
2 75 975 7.29794699296793e-05 0.04487841899936029 [0.0019398275101331795, 0.0007537745989909805]
5 137 1781 8.940000729307229e-05 0.06858915200064075 [-0.002493577068123409, -0.00010038996446355114]
2 64 832 6.146116271410484e-05 0.03311243600001035 [-0.0012131271980728691, -0.001096564968507786]
0 27 351 1.4873287248473588e-05 0.01351476600029855 [-0.0002720417613817005, -0.0006413432287332372]
3 91 1183 7.195430739037612e-05 0.06812905100014177 [0.0019808569295674456, 0.0006848644622362565]
1 51 663 2.0424580785771695e-05 0.030059388000154286 [0.0010143911783296326, -0.000411458287529181]
5 97 1261 9.840711942699087e-05 0.051542111999879126 [-0.0026180427761808714, -8.332567661968268e-05]
2 44 572 8.259660168929983e-05 0.0220199909999792 [0.002025326748193876, 0.0008425895282371263]
3 59 767 5.368203540889738e-05 0.03014616499967815 [-0.0016102313388778756, 0.0007018572638955167]

