7 99 1287 3.000050719517881 0.05001566200007801 [0.00013708507762214169, -1.0002936717347848]
3 57 741 3.0001975382116868 0.02721801700135984 [-0.0009134092292411886, -1.0003781463419406]
1 23 299 3.000123039712906 0.011083726998549537 [-0.0007376843756333223, -1.000147816494174]
0 17 221 3.000243662431062 0.008053169998675003 [0.00041857032879001783, -0.999207470604792]
8 121 1573 3.000215923670125 0.05677430400101002 [0.0008605695958867764, -0.9994464833103937]
2 45 585 3.0000094328601294 0.020858339999904274 [-6.924285858411544e-05, -1.0001563605847061]
1 24 312 3.0003935745394226 0.011902849000762217 [0.0009829914404035172, -0.999114955091889]
2 47 611 3.0003739713192585 0.022469837000244297 [-0.0007790574694015936, -0.9994524175065402]
7 65 845 3.000197555703098 0.03133904300011636 [-0.00011861567953937123, -0.9993584903869668]
8 80 1040 3.0002080221803316 0.05770325800040155 [-0.00033172535289079964, -0.9994311365454805]
1 46 598 3.0002609190917617 0.02808017499955895 [-0.0006414201443332556, -1.0007842396403452]
3 52 676 3.0003600798835923 0.0301294990003953 [-0.0012481862309772548, -1.0001636062191928]
0 45 585 3.000390450384696 0.022380757000064477 [-8.9236643167562e-05, -0.9990731331633708]
0 26 338 3.0002847017735768 0.012189488999865716 [0.0009556872704537704, -0.9993322086777345]
0 26 338 3.0003769619199554 0.012889588999314583 [0.0012863014317360951, -0.9997831096246815]
0 22 286 3.0001758845951185 0.011528135999469669 [0.0004088858208475245, -0.999331819740963]
4 67 871 3.000001621069764 0.03575037700102257 [8.457291074655847e-05, -0.9999840753421144]
1 21 273 3.0001196145186437 0.015641783000319265 [-0.00018434796375249953, -1.0005550325425183]
1 38 494 3.0000944421778217 0.023336535999987973 [0.0006325710638761112, -0.9999428028351693]
1 28 364 3.000094245160823 0.014064266999412212 [2.9160200837474986e-05, -0.9995259649322055]
2 82 1066 3.000051869030912 0.04347665299974324 [-0.000475768466509647, -1.0000723737093058]
1 23 299 3.0003010802838443 0.01468980199933867 [0.0009371870956102826, -0.9992756783920149]
4 65 845 3.00038488213703 0.035627289000331075 [0.0012981918670290846, -0.9995580150427863]
5 75 975 3.000256248265909 0.036495186999673024 [-0.0007869372022306907, -1.0007164915354525]
3 41 533 3.0001857586443594 0.022482553000372718 [0.0006199561206473404, -1.000323882812808]
4 48 624 3.0001251885442977 0.02335210799901688 [-3.247134125612845e-05, -0.999470099361725]
0 25 325 3.000218634121557 0.012468946999433683 [-0.00024134066203610675, -1.000749799865765]
0 25 325 3.000367997684098 0.011918118001631228 [0.0002790004246057524, -0.9990290541582508]
4 69 897 3.000316132727844 0.043419334000645904 [-0.0006112782519507552, -0.9994190756288678]
0 13 169 3.00007209722618 0.010484504000487505 [3.321285308716983e-05, -1.0003993928609365]
3 56 728 3.0000812599219406 0.035574068000642 [-0.0005255560314908489, -0.9999208458285251]
0 20 260 3.0001534354487043 0.017670118000751245 [0.0006909000820314597, -1.000153293239936]
1 54 702 3.000077474345269 0.03173066999988805 [-0.00045351260677466837, -0.9998444304410564]
0 11 143 3.0002940305300236 0.005770006000602734 [0.0001310055730853934, -1.0007862759237018]
4 59 767 3.0001811346798277 0.02805644300133281 [0.0008864539587001338, -0.9996771901916609]
3 41 533 3.000027424423982 0.020172414000626304 [-0.00034070914970966125, -1.0001400230525572]
1 29 377 3.000141175536447 0.015117957998882048 [0.0006689907629605712, -0.9995263144534162]
2 61 793 3.000115993584824 0.03343911000047228 [0.0001018049823573459, -1.00048726945766]
2 44 572 3.0000533227099715 0.024411375999989104 [-0.00045914747572234176, -0.99999793326311]
0 20 260 3.000084556971311 0.012143697000283282 [0.0006075683847446615, -0.9999071169031377]
1 28 364 3.0001327900415258 0.01690018200133636 [-0.0007430729013447616, -1.0000448948673681]
2 40 520 3.0002695482563895 0.026817975000085426 [0.0007073604614720658, -1.0004251983292842]
2 59 767 3.0002576369702543 0.032460938000440365 [0.0009668823835790354, -0.9994266449347546]
0 18 234 3.0000827333469524 0.0097370690000389 [0.00016462882266631896, -1.000379851098618]
4 58 754 3.000293039884662 0.029164125000534113 [-0.0008555386149651945, -1.0007584176389974]
0 26 338 3.000218009969724 0.01338239600045199 [0.00022422539591688932, -1.0006352106928231]
7 83 1079 3.0001287192319324 0.049638454998785164 [-0.00019550298051287907, -1.0005760156994155]
5 106 1378 3.0001679832477985 0.05694435700024769 [-0.000770999472829593, -1.0004737799866703]
1 34 442 3.000390061403114 0.016778159000750748 [0.0006467966432724473, -1.0006649713749554]
0 23 299 3.0002722748709645 0.012412268000844051 [0.000703267867710141, -1.0004338963498687]

