1 51 663 9.109805756146727e-05 0.05946706999930029 [-0.0008747026692570345, 0.0015447910804933798]
5 123 1599 1.2933010950622048e-05 0.14183024100020702 [0.0005845281286332213, 0.0004892616223391502]
6 98 1274 9.075079401754671e-05 0.12373809900054766 [0.0024869698351377145, 0.00025364476771903225]
1 40 520 5.297124829450883e-05 0.05304183099906368 [0.001045354433052767, 0.0010541630174009469]
8 148 1924 5.934094062109985e-05 0.1753959500001656 [-0.0019865962278964866, -0.0002893686110773863]
9 183 2379 9.659913608317527e-05 0.22163882399945578 [0.0011088672615426236, -0.0015336468218239052]
13 267 3471 7.948899976706336e-05 0.34099041300032695 [-0.0005046868803094354, -0.0015027918273995645]
8 126 1638 7.070721801372137e-05 0.1428240960012772 [0.0017414410325850313, 0.0009011123798716427]
0 17 221 1.802970446407315e-05 0.020339486000011675 [-0.0011218853816495483, 6.300591445983217e-06]
0 25 325 4.76790148351558e-05 0.028442124001230695 [0.001462513020841159, -0.0007123520892457682]
1 40 520 8.19892376370257e-05 0.055180848999953014 [0.0007311163998457554, -0.0014877767176867361]
1 41 533 8.607091586176896e-05 0.060883567999553634 [0.001196246883923743, 0.0013973691978635028]
6 88 1144 1.9680896601315112e-07 0.10157128299942997 [-8.612381652345867e-05, 5.1930073984875246e-05]
5 108 1404 2.2666290664163924e-05 0.14250052600073104 [-0.0012040854497411945, 0.00023781483737546827]
3 93 1209 5.697921510205983e-05 0.10724109199873055 [0.001304986011994476, -0.0009850534330895942]
2 86 1118 4.580511298257761e-05 0.09455994900054066 [-0.001021740723817676, 0.0009584814088887638]
0 42 546 2.784604161343296e-05 0.05735874700076238 [0.0012287677463411796, 0.0004303289544788924]
2 66 858 4.474210957772229e-05 0.08652002500093658 [-0.00010836209937366504, 0.001152088709303716]
4 98 1274 3.593024659043209e-05 0.12312165900038963 [-0.00042358568215818126, -0.0009966870186572038]
5 98 1274 7.928237925702852e-05 0.12217110799974762 [0.000940066776565239, -0.0014085188499976808]
0 24 312 7.567135916308754e-05 0.027258526999503374 [0.0017538249950215645, -0.0009702386329671583]
1 43 559 7.103221414395122e-06 0.0478282770000078 [-0.000105107114577726, -0.0004547554858284966]
6 149 1937 8.540280949531631e-05 0.19129025199981697 [-0.0023668032678759218, 0.0003922304880445296]
12 277 3601 6.255548079325823e-05 0.3363860459994612 [0.002004051380276679, 0.00038696930741836147]
5 163 2119 4.0233458062921557e-05 0.18134206499962602 [7.834610208844184e-05, 0.0010933616012586288]
22 310 4030 7.399535110930167e-05 0.3772508410002047 [-0.0022046807618218162, -0.00036091076643784666]
11 207 2691 1.52577379253227e-05 0.2454682360003062 [-0.0007695859947865862, 0.0004491302082963045]
8 126 1638 8.747672251230298e-05 0.1519026969999686 [0.002420243976794097, -0.00032633245426228223]
16 240 3120 8.107342817176288e-05 0.2963862529995822 [0.00014971391132151185, -0.0015506938624342272]
0 21 273 5.5721461147406615e-05 0.02423856300083571 [-0.0002930031471574205, 0.0012738305565083929]
9 147 1911 8.352609700534863e-05 0.16485054199984006 [0.0003612809114534052, -0.0015593508216975908]
2 50 650 4.6692646787693803e-05 0.069854724999459 [-0.0018048675034849585, -3.120693408482987e-05]
4 84 1092 9.82451256593686e-05 0.10522269099965342 [0.0004753285624203932, -0.0016820214299406032]
6 151 1963 8.747497588790232e-05 0.18573617700167233 [-0.0018726522660856269, -0.0010531159166770052]
19 324 4212 2.3022391963944955e-05 0.38545050200082187 [-0.0010619465341526139, 0.00045225933791316375]
7 107 1391 5.226199442831536e-05 0.12200557799951639 [0.0009404495325458877, -0.0010858154856490027]
3 77 1001 7.885796073070495e-05 0.09074112500093179 [-0.001976831490972164, -0.0008254748301064511]
9 202 2626 1.3708486938046605e-05 0.263775039000393 [0.0009733796057362592, 6.388900469964792e-05]
0 31 403 9.749298795658223e-05 0.04170643700126675 [0.0020567037599852197, 0.0010482896717261766]
0 32 416 7.813051334570886e-05 0.03692406099980872 [0.001862294221755713, -0.000920486274616389]
0 34 442 8.888096337589246e-06 0.03782278400103678 [0.00011893923527445916, -0.0005085564026559746]
8 163 2119 5.448042129052588e-05 0.2094876969986217 [-0.0013650532149028776, 0.0009096781827486189]
4 89 1157 4.435454975670883e-05 0.09998128899860603 [1.0561408622917264e-05, -0.001149229562839534]
4 90 1170 1.2464666951705894e-05 0.10072565800146549 [5.13142163230053e-05, -0.0006083103999684541]
10 166 2158 1.2806283733679535e-05 0.2284720860006928 [0.00021063779362953498, -0.0006020072122636148]
13 216 2808 6.388136749713169e-05 0.2788147490009578 [0.002071137567625653, -0.00026949020786768384]
2 61 793 5.083205876099672e-05 0.07597014599923568 [0.0013843322547921213, -0.0008344256391800645]
4 97 1261 7.919215128349144e-05 0.11080801699972653 [-0.0005464430572989323, 0.0014935935523981837]
2 54 702 3.9394744169474194e-05 0.07563848500103632 [-0.0010229082767275969, -0.000852514880390765]
0 31 403 6.043147998702203e-05 0.04510609899989504 [-0.000517244734263017, -0.001298230291301064]

