0 27 351 0.014770978000342438 [-0.002345328402367548, -0.00041383539820994254]
0 21 273 0.011367352999968716 [0.0011025389457562872, -0.000182742857088798]
0 25 325 0.013593482000032964 [0.0007720105251321809, -2.7758222020252132e-06]
1 63 819 0.032854002000021865 [-0.0007335370279929997, 0.00041617746365299317]
0 20 260 0.011145324000153778 [0.0012016688188923623, 0.0011263623231153722]
2 38 494 0.021048620999863488 [0.0004065538919899944, 1.5481326777925814e-05]
1 26 338 0.013880631999654724 [0.0015594908119835427, 0.0002385872898424124]
7 116 1508 0.06028631499975745 [-0.00120749521676459, 0.001159143566750391]
1 81 1053 0.06116250500008391 [0.0010300397727191126, -0.000560256090663987]
0 31 403 0.025635021999733 [-0.0006912230144397076, 0.00019654183022242266]
0 24 312 0.015689238000049954 [-0.001712592229790158, 0.0013054047649600055]
1 40 520 0.02452371099980155 [-0.0012665394263390757, 0.0008537008098405061]
0 22 286 0.014916854000148305 [0.0010637514408874948, 0.0014565970356186279]
0 21 273 0.01249105699980646 [0.002191466778784834, -0.000313926435751781]
0 24 312 0.013495172999682836 [0.0006813734057075586, -0.0005209181166711662]
2 60 780 0.033352970000123605 [-0.0006583205985155227, -0.00016873653460415918]
1 27 351 0.015724024000064674 [0.0024911622872813323, 0.00016682448138967648]
0 18 234 0.011238718999720732 [-0.0024055201539088674, 9.977994783467049e-05]
0 23 299 0.013116394999997283 [-0.0009608731147383344, 0.00047150979240246325]
2 86 1118 0.05224956799975189 [-0.00020878669459156512, -0.0013097966940608624]
0 20 260 0.013691781000034098 [0.0013672800056159463, -0.00029825166883717686]
0 25 325 0.01472068999964904 [-0.0006003001146530141, 0.0008793357946966411]
3 86 1118 0.05200295799977539 [0.0005221428191588188, -0.0008436140515243184]
1 37 481 0.02092785900003946 [-0.0002082322512986911, 0.0014800814030849554]
0 23 299 0.012815702999887435 [0.0006565775888633263, 0.001603687837270574]
0 28 364 0.015166025999860722 [-0.00022130429039970262, -0.0011110746241895248]
0 17 221 0.009608563000256254 [3.163706436102614e-05, -0.001058134886559567]
2 63 819 0.03385559399976046 [0.00013009644347235358, 8.791835890490599e-05]
1 32 416 0.017207615999723203 [-0.00046167025359339126, -6.2701013254245e-05]
6 97 1261 0.06949787800022023 [-0.00048205744117799706, -0.0016348203429725778]
3 63 819 0.05439241900012348 [0.0018457256549962472, -0.0003412091782221587]
1 40 520 0.032218713000020216 [-0.000556339394021485, 0.0008286130246076345]
0 32 416 0.026126738999664667 [-0.0024283928734496934, 0.0006207576491617031]
5 78 1014 0.04565614200009804 [0.0005955749251345819, 0.0016670492780579572]
4 78 1014 0.04008864999968864 [-0.0025152778966097394, -0.00044465959846280104]
0 32 416 0.02530911100029698 [-0.0010759914471347018, 0.0007612880380217899]
0 32 416 0.02452375499979098 [-0.0005300443991539111, 0.0003847864540900848]
3 69 897 0.04162462499971298 [-0.0009306076444748192, 0.00035241996548018763]
0 16 208 0.010192492999976821 [-0.0014457172030006831, 0.0002430692953842964]
1 38 494 0.025178246999985276 [-0.0015741478079194463, 0.0007978003823860382]
0 26 338 0.013976304000152595 [0.0006019929985770084, -3.000781462604777e-05]
1 31 403 0.016297895000207063 [0.0006170848761181784, 0.0009515746790945117]
1 26 338 0.01325365699995018 [-0.0017856797296188602, -0.0009429282734689289]
4 103 1339 0.04911778299992875 [0.002376261333887554, 0.00036994648922740697]
5 110 1430 0.06645895299971016 [0.0011727920224310169, -0.001353820350595174]
0 24 312 0.01394263200018031 [-0.0009755830643536859, 0.001229058016522668]
1 58 754 0.035236885999893275 [-0.00010255068951204194, -0.0003456005266608223]
20 292 3796 0.15742336400035128 [0.001651962894754487, 0.0012857817582380478]
0 23 299 0.015345033000357944 [0.0021657228496618753, -0.00014097778150241706]
2 61 793 0.037644517999979143 [0.0005790969630764189, 0.00024033599525253094]

