5 106 1378 0.050228719000187994 [-0.0007593846629741809, -1.000009539488532]
2 44 572 0.021698720999665966 [-0.0006714301749856117, -1.0002053255682282]
1 31 403 0.014602940999793645 [-0.0006778238950579211, -1.0006803126290316]
2 51 663 0.024860952000381076 [0.0011295354556704355, -0.9992882418389076]
1 42 546 0.01947839100012061 [-0.0007174611877164235, -1.0008266374143169]
3 68 884 0.032320583000000624 [-0.00025550503437279503, -0.9998496298434979]
0 23 299 0.01217523200011783 [0.0010753957619048004, -0.9999221330725176]
1 37 481 0.018176925999796367 [0.00019273991749985033, -0.9997677833320162]
1 50 650 0.02356380900073418 [0.00011958625224311667, -1.0005921540032439]
3 45 585 0.021855756000149995 [-0.001012891431791654, -1.0007597121914134]
7 159 2067 0.08803570700001728 [0.0005350588066545779, -1.0001705790718218]
2 39 507 0.02298762100053864 [-0.00048071210471782935, -1.0009589876133258]
0 17 221 0.010824029999639606 [-0.0007435203211241916, -0.9995234524199892]
2 60 780 0.029711574999964796 [-0.00033717862254724383, -0.9996026909702939]
2 44 572 0.02262835700003052 [0.0006208778017167517, -0.9992397893631493]
0 18 234 0.009012375000565953 [-0.00041449973187833813, -1.0002703648620512]
0 18 234 0.009074076000615605 [-0.0011746455200768277, -1.0003033603791265]
0 19 247 0.009491487000559573 [0.0003672985414975645, -0.9996816925724227]
1 25 325 0.012702823999461543 [0.001194147313771302, -0.9994299919482666]
0 33 429 0.015811730000677926 [-0.0008015804107567646, -1.000472519746913]
0 17 221 0.008391692000259354 [-0.0003975814953075625, -0.9999643329135677]
1 34 442 0.01655854700038617 [3.042273680745461e-05, -0.9999894458265388]
5 125 1625 0.07288755199988373 [0.0005814660638093511, -0.9998687766108089]
1 29 377 0.017597043999558082 [-0.0009925480495140797, -1.0005421298360104]
1 42 546 0.026217634999738948 [0.0003594728077592098, -1.0001304037654857]
0 13 169 0.008394754000619287 [0.0003539040138016555, -1.000553256248413]
1 12 156 0.007958613000482728 [-0.00015453031867889583, -0.9994360683244029]
0 25 325 0.017433042999982717 [0.0006403930531808788, -0.9991567155237255]
10 168 2184 0.08490531499955978 [-0.0001043626741668302, -0.9998509229634521]
0 15 195 0.007885904000431765 [-0.0002338190931385442, -1.000501812202628]
6 107 1391 0.06031326900028944 [3.114067338259234e-05, -1.0008725578626623]
5 86 1118 0.047025689000292914 [-0.0006365672352300791, -1.000523722052418]
1 28 364 0.02020417699986865 [0.0009353425618572654, -0.9990951572351814]
2 37 481 0.02334303799943882 [0.0007521836623441466, -0.9991152663548942]
0 20 260 0.010719091000282788 [0.001120239721769669, -1.0001429446440968]
0 27 351 0.015178513000137173 [-0.0008973476338791141, -1.000598109757498]
1 165 2145 0.07599078200018994 [0.00045668881281336546, -1.0007347908884643]
0 23 299 0.011854761999529728 [0.0010088604272401281, -1.0002676805712165]
1 27 351 0.016113978000248608 [-0.0007631507810596232, -1.0001256336814006]
0 14 182 0.007881314999394817 [0.00046481597789622964, -0.9998356020827119]
1 27 351 0.015442049999364826 [0.0008309656153913172, -0.9993542458513567]
0 16 208 0.00898936900011904 [-0.0008006335802417353, -1.0008906499782404]
0 11 143 0.005946350999693095 [0.0009216085140644136, -0.9995677044778664]
3 50 650 0.02878391800004465 [0.0006711559741837854, -1.0003272753331507]
0 13 169 0.010381602000052226 [0.0002159799610439309, -0.9999070293823791]
1 35 455 0.01860123799997382 [0.0005341357760027109, -0.9991387840512332]
0 16 208 0.008266877000096429 [-0.0008231787933962818, -0.9997956416043438]
0 21 273 0.010076895000565855 [-4.267280390194994e-05, -0.9995549604141232]
0 15 195 0.007486761000109254 [0.0011574267308625636, -0.9997776301420868]
0 16 208 0.008835487999931502 [0.0005090727023104825, -0.9993988078504885]

