0 38 494 0.032218966000073124 [0.001183713601466568, -0.999558738638024]
0 16 208 0.013899120999667502 [0.0008299683300290045, -0.9996654427586696]
0 25 325 0.02021736000006058 [-0.0007637805925681585, -1.0002225854752815]
0 18 234 0.014709709999806364 [0.00044670488621153213, -1.0007118650166664]
0 21 273 0.016649359999973967 [0.0004975805492311563, -0.9991925351122086]
0 13 169 0.011128239000754547 [-0.0006419445830065061, -1.00019493283191]
0 13 169 0.011367185999915819 [0.00019055356812096823, -0.9995126202543805]
0 16 208 0.01296715700027562 [-0.0005792657773207229, -1.0008515159168498]
0 40 520 0.027202764000321622 [-0.0010068082302416297, -1.0003867004292681]
0 21 273 0.010159581000152684 [-0.0009958497838171406, -0.9997874850701544]
0 17 221 0.01040054599980067 [-0.000825717478522941, -1.0002415446659034]
0 106 1378 0.05920326700015721 [-4.599190224366823e-05, -1.000177259312251]
0 10000 130000 3.9174300550002954 [1.8000000231619664, 0.20000001008627993]
0 18 234 0.008396541999900364 [-0.00022697882029682273, -0.9995970729199034]
0 46 598 0.018597498999952222 [-4.353628978463406e-06, -0.9990600418748504]
0 25 325 0.010925962999863259 [-0.00011562269364729172, -0.999796730274558]
0 20 260 0.008723316999748931 [0.0007823209256043739, -0.9994327848071005]
0 25 325 0.011008116000084556 [0.0007205370490052222, -0.9998065723529569]
0 26 338 0.01085619500008761 [0.00046388763182474233, -0.9991730655310673]
0 18 234 0.00798651900004188 [0.0004316445067559403, -0.999600311941857]
0 10000 130000 4.280562165000447 [1.8000005941830366, 0.20000039701146471]
0 16 208 0.007697815999563318 [0.0004281415067723376, -1.0002556732380286]
0 22 286 0.00998901000002661 [-0.0008389722940512163, -1.0009084504287507]
0 20 260 0.009223320999808493 [-0.0003974451016986741, -1.0009027108008512]
0 33 429 0.015328831000260834 [0.0009000291371529681, -0.9994866101790922]
0 66 858 0.027901399000256788 [-0.00024079423731855534, -1.0002296939362514]
0 21 273 0.0101684249993923 [0.0007276312495793213, -0.9990677222413079]
0 23 299 0.011751752000236593 [0.0011631182029735903, -0.9997364671619794]
0 17 221 0.01253794999956881 [-0.0012359753648384637, -1.0005384725258266]
0 17 221 0.010665123999388015 [-0.00034405777217823915, -1.0009484635852357]
0 30 390 0.015194196999800624 [0.000828891083051302, -0.9993956581742415]
0 14 182 0.007282259999556118 [7.0011602870791514e-06, -1.00007549378719]
0 10000 130000 3.8100959660005174 [1.8000000922927186, 0.2000000677474933]
0 15 195 0.007502872000259231 [0.00017614315528945157, -1.0004398943381307]
0 67 871 0.027918687000237696 [-0.00047405946904613243, -1.0007043553812829]
0 21 273 0.009174535000056494 [-0.0009338115330570747, -0.9996129049835853]
0 14 182 0.006863640000119631 [-0.0011023209448193308, -1.0005404817613877]
0 15 195 0.00694961599947419 [0.000788806474818301, -0.999958564000183]
0 17 221 0.007769851000375638 [0.0003085140467734143, -0.9997483355079155]
0 16 208 0.007001724000474496 [0.0011156495739257043, -0.9992785115836448]
0 22 286 0.009493112000200199 [-0.0006255888797981997, -0.9994002170267693]
0 33 429 0.013285101000292343 [-0.0003646222330527943, -1.000083187135431]
0 16 208 0.007415339000544918 [4.346328625441133e-05, -0.9994797714076785]
0 97 1261 0.038654179999866756 [0.000421392498384457, -1.0005853925647943]
0 26 338 0.012651327000639867 [0.00012902735643211568, -1.000310132518779]
0 20 260 0.009191973000270082 [0.0004589266837494669, -1.0004435177071884]
0 12 156 0.005873320999853604 [0.00046504865970515554, -1.000564250176101]
0 28 364 0.012563056000544748 [0.000669504858837525, -1.0001307336039362]
0 39 507 0.017226038000444532 [0.0010304663928049913, -1.0000368397736439]
0 19 247 0.010827768000126525 [0.00036489981266828826, -0.9991635659808702]
